sim_ns,signal_id,bus_id,attack_kind,detected,extra,note
12906392,4,0,1,0,0,"replay injected"
14997374,4,0,1,0,0,"replay injected"
17338456,4,0,1,0,0,"replay injected"
20566050,4,0,1,0,0,"replay injected"
21746348,4,0,1,0,0,"replay injected"
24990923,4,0,1,0,0,"replay injected"
26300249,4,0,1,0,0,"replay injected"
26550509,4,0,1,0,0,"replay injected"
28338496,4,0,1,0,0,"replay injected"
29519281,4,0,1,0,0,"replay injected"
31574063,4,0,1,0,0,"replay injected"
32666032,4,0,1,0,0,"replay injected"
34898121,4,0,1,0,0,"replay injected"
35120649,4,0,1,0,0,"replay injected"
37180152,4,0,1,0,0,"replay injected"
38318519,4,0,1,0,0,"replay injected"
40428561,4,0,1,0,0,"replay injected"
43923219,4,0,1,0,0,"replay injected"
46393372,4,0,1,0,0,"replay injected"
46658503,4,0,1,0,0,"replay injected"
48127342,4,0,1,0,0,"replay injected"
49765194,4,0,1,0,0,"replay injected"
50954900,4,0,1,0,0,"replay injected"
53008950,4,0,1,0,0,"replay injected"
54742712,4,0,1,0,0,"replay injected"
54955875,4,0,1,0,0,"replay injected"
56851682,4,0,1,0,0,"replay injected"
57918912,4,0,1,0,0,"replay injected"
60045789,4,0,1,0,0,"replay injected"
61695669,4,0,1,0,0,"replay injected"
62038087,4,0,1,0,0,"replay injected"
63918083,4,0,1,0,0,"replay injected"
66166736,4,0,1,0,0,"replay injected"
67154926,4,0,1,0,0,"replay injected"
68387625,4,0,1,0,0,"replay injected"
69702692,4,0,1,0,0,"replay injected"
70231522,4,0,1,0,0,"replay injected"
71842728,4,0,1,0,0,"replay injected"
72026644,4,0,1,0,0,"replay injected"
74091460,4,0,1,0,0,"replay injected"
76202691,4,0,1,0,0,"replay injected"
77288032,4,0,1,0,0,"replay injected"
79549044,4,0,1,0,0,"replay injected"
79900076,4,0,1,0,0,"replay injected"
81556732,4,0,1,0,0,"replay injected"
83803133,4,0,1,0,0,"replay injected"
85062572,4,0,1,0,0,"replay injected"
86989272,4,0,1,0,0,"replay injected"
88709941,4,0,1,0,0,"replay injected"
88986297,4,0,1,0,0,"replay injected"
90753465,4,0,1,0,0,"replay injected"
92863215,4,0,1,0,0,"replay injected"
95447079,4,0,1,0,0,"replay injected"
97035248,4,0,1,0,0,"replay injected"
99842708,4,0,1,0,0,"replay injected"
100075497,4,0,1,0,0,"replay injected"
101850174,4,0,1,0,0,"replay injected"
106744399,4,0,2,0,0,"payload bit-flip"
106755122,4,0,2,0,0,"payload bit-flip"
106758831,4,0,2,0,0,"payload bit-flip"
106762000,4,0,2,0,0,"payload bit-flip"
106765313,4,0,2,0,0,"payload bit-flip"
106770872,4,0,2,0,0,"payload bit-flip"
106774062,4,0,2,0,0,"payload bit-flip"
106777552,4,0,2,0,0,"payload bit-flip"
106781069,4,0,2,0,0,"payload bit-flip"
106784107,4,0,2,0,0,"payload bit-flip"
106787359,4,0,2,0,0,"payload bit-flip"
106790681,4,0,2,0,0,"payload bit-flip"
106793972,4,0,2,0,0,"payload bit-flip"
106797217,4,0,2,0,0,"payload bit-flip"
106800273,4,0,2,0,0,"payload bit-flip"
106803319,4,0,2,0,0,"payload bit-flip"
106806560,4,0,2,0,0,"payload bit-flip"
106809691,4,0,2,0,0,"payload bit-flip"
106812927,4,0,2,0,0,"payload bit-flip"
106815998,4,0,2,0,0,"payload bit-flip"
106820723,4,0,2,0,0,"payload bit-flip"
106823903,4,0,2,0,0,"payload bit-flip"
106827718,4,0,2,0,0,"payload bit-flip"
106830720,4,0,2,0,0,"payload bit-flip"
106833879,4,0,2,0,0,"payload bit-flip"
106836951,4,0,2,0,0,"payload bit-flip"
106840355,4,0,2,0,0,"payload bit-flip"
106843594,4,0,2,0,0,"payload bit-flip"
106846717,4,0,2,0,0,"payload bit-flip"
106849951,4,0,2,0,0,"payload bit-flip"
106853146,4,0,2,0,0,"payload bit-flip"
106856504,4,0,2,0,0,"payload bit-flip"
106860340,4,0,2,0,0,"payload bit-flip"
106863360,4,0,2,0,0,"payload bit-flip"
106867203,4,0,2,0,0,"payload bit-flip"
106871361,4,0,2,0,0,"payload bit-flip"
106874672,4,0,2,0,0,"payload bit-flip"
106878631,4,0,2,0,0,"payload bit-flip"
106881942,4,0,2,0,0,"payload bit-flip"
106885192,4,0,2,0,0,"payload bit-flip"
106888318,4,0,2,0,0,"payload bit-flip"
106891347,4,0,2,0,0,"payload bit-flip"
106894672,4,0,2,0,0,"payload bit-flip"
106897989,4,0,2,0,0,"payload bit-flip"
106901242,4,0,2,0,0,"payload bit-flip"
106904478,4,0,2,0,0,"payload bit-flip"
106907783,4,0,2,0,0,"payload bit-flip"
106910993,4,0,2,0,0,"payload bit-flip"
106914039,4,0,2,0,0,"payload bit-flip"
106917042,4,0,2,0,0,"payload bit-flip"
106991538,4,0,2,0,0,"payload bit-flip"
106994891,4,0,2,0,0,"payload bit-flip"
106998002,4,0,2,0,0,"payload bit-flip"
109616390,4,0,2,0,0,"payload bit-flip"
109623030,4,0,2,0,0,"payload bit-flip"
109627169,4,0,2,0,0,"payload bit-flip"
109652769,4,0,2,0,0,"payload bit-flip"
109657434,4,0,2,0,0,"payload bit-flip"
109661818,4,0,2,0,0,"payload bit-flip"
109665923,4,0,2,0,0,"payload bit-flip"
109670550,4,0,2,0,0,"payload bit-flip"
109674996,4,0,2,0,0,"payload bit-flip"
109680298,4,0,2,0,0,"payload bit-flip"
109684840,4,0,2,0,0,"payload bit-flip"
109690329,4,0,2,0,0,"payload bit-flip"
109697728,4,0,2,0,0,"payload bit-flip"
109702366,4,0,2,0,0,"payload bit-flip"
109706801,4,0,2,0,0,"payload bit-flip"
109711101,4,0,2,0,0,"payload bit-flip"
109715374,4,0,2,0,0,"payload bit-flip"
109720332,4,0,2,0,0,"payload bit-flip"
109725534,4,0,2,0,0,"payload bit-flip"
109730128,4,0,2,0,0,"payload bit-flip"
109734535,4,0,2,0,0,"payload bit-flip"
109738704,4,0,2,0,0,"payload bit-flip"
109743705,4,0,2,0,0,"payload bit-flip"
