sim_ns,signal_id,bus_id,attack_kind,detected,extra,note
10726787,4,0,1,0,0,"replay injected"
17571925,4,0,1,0,0,"replay injected"
24442053,4,0,1,0,0,"replay injected"
31394081,4,0,1,0,0,"replay injected"
38178510,4,0,1,0,0,"replay injected"
45033192,4,0,1,0,0,"replay injected"
51880265,4,0,1,0,0,"replay injected"
57564649,4,0,1,0,0,"replay injected"
63168912,4,0,1,0,0,"replay injected"
70034969,4,0,1,0,0,"replay injected"
77021375,4,0,1,0,0,"replay injected"
83945554,4,0,1,0,0,"replay injected"
89638753,4,0,1,0,0,"replay injected"
95307143,4,0,1,0,0,"replay injected"
102128286,4,0,1,0,0,"replay injected"
107768385,4,0,1,0,0,"replay injected"
114602014,4,0,1,0,0,"replay injected"
121409000,4,0,1,0,0,"replay injected"
128265910,4,0,1,0,0,"replay injected"
134960453,4,0,1,0,0,"replay injected"
141184155,4,0,1,0,0,"replay injected"
147384094,4,0,1,0,0,"replay injected"
154200746,4,0,1,0,0,"replay injected"
159827330,4,0,1,0,0,"replay injected"
166640865,4,0,1,0,0,"replay injected"
173472058,4,0,1,0,0,"replay injected"
180295784,4,0,1,0,0,"replay injected"
187186039,4,0,1,0,0,"replay injected"
193998903,4,0,1,0,0,"replay injected"
199648943,4,0,1,0,0,"replay injected"
206551043,4,0,1,0,0,"replay injected"
213380207,4,0,1,0,0,"replay injected"
220240769,4,0,1,0,0,"replay injected"
225472855,4,0,1,0,0,"replay injected"
231569564,4,0,1,0,0,"replay injected"
238384015,4,0,1,0,0,"replay injected"
245183320,4,0,1,0,0,"replay injected"
252058136,4,0,1,0,0,"replay injected"
258899388,4,0,1,0,0,"replay injected"
264623872,4,0,1,0,0,"replay injected"
271530263,4,0,1,0,0,"replay injected"
278385385,4,0,1,0,0,"replay injected"
285715763,4,0,1,0,0,"replay injected"
292498976,4,0,1,0,0,"replay injected"
298797849,4,0,1,0,0,"replay injected"
303814107,4,0,1,0,0,"replay injected"
310627891,4,0,1,0,0,"replay injected"
317478751,4,0,1,0,0,"replay injected"
324257287,4,0,1,0,0,"replay injected"
331092841,4,0,1,0,0,"replay injected"
337882890,4,0,1,0,0,"replay injected"
344621503,4,0,1,0,0,"replay injected"
351495007,4,0,1,0,0,"replay injected"
358443764,4,0,1,0,0,"replay injected"
365294357,4,0,1,0,0,"replay injected"
372127288,4,0,1,0,0,"replay injected"
378926983,4,0,1,0,0,"replay injected"
385177430,4,0,1,0,0,"replay injected"
391648604,4,0,1,0,0,"replay injected"
398663343,4,0,1,0,0,"replay injected"
404336589,4,0,1,0,0,"replay injected"
409924847,4,0,1,0,0,"replay injected"
418215998,4,0,2,0,0,"payload bit-flip"
419966416,4,0,2,0,0,"payload bit-flip"
422233116,4,0,2,0,0,"payload bit-flip"
423454980,4,0,2,0,0,"payload bit-flip"
425718794,4,0,2,0,0,"payload bit-flip"
427982396,4,0,2,0,0,"payload bit-flip"
430233926,4,0,2,0,0,"payload bit-flip"
432480613,4,0,2,0,0,"payload bit-flip"
434738076,4,0,2,0,0,"payload bit-flip"
436997458,4,0,2,0,0,"payload bit-flip"
439274392,4,0,2,0,0,"payload bit-flip"
441548488,4,0,2,0,0,"payload bit-flip"
443845863,4,0,2,0,0,"payload bit-flip"
446125835,4,0,2,0,0,"payload bit-flip"
448389648,4,0,2,0,0,"payload bit-flip"
450652159,4,0,2,0,0,"payload bit-flip"
452947545,4,0,2,0,0,"payload bit-flip"
455312747,4,0,2,0,0,"payload bit-flip"
457188691,4,0,2,0,0,"payload bit-flip"
458704120,4,0,2,0,0,"payload bit-flip"
460958586,4,0,2,0,0,"payload bit-flip"
463200413,4,0,2,0,0,"payload bit-flip"
465456888,4,0,2,0,0,"payload bit-flip"
467737411,4,0,2,0,0,"payload bit-flip"
469998399,4,0,2,0,0,"payload bit-flip"
472307423,4,0,2,0,0,"payload bit-flip"
474582267,4,0,2,0,0,"payload bit-flip"
476852792,4,0,2,0,0,"payload bit-flip"
479113534,4,0,2,0,0,"payload bit-flip"
