sim_ns,signal_id,bus_id,attack_kind,detected,extra,note
93470576,4,0,2,0,0,"payload bit-flip"
93473666,4,0,2,0,0,"payload bit-flip"
93476158,4,0,2,0,0,"payload bit-flip"
93478944,4,0,2,0,0,"payload bit-flip"
93481547,4,0,2,0,0,"payload bit-flip"
93484281,4,0,2,0,0,"payload bit-flip"
93486888,4,0,2,0,0,"payload bit-flip"
93490344,4,0,2,0,0,"payload bit-flip"
93493022,4,0,2,0,0,"payload bit-flip"
93495651,4,0,2,0,0,"payload bit-flip"
93498263,4,0,2,0,0,"payload bit-flip"
93500677,4,0,2,0,0,"payload bit-flip"
93503171,4,0,2,0,0,"payload bit-flip"
93505733,4,0,2,0,0,"payload bit-flip"
93508168,4,0,2,0,0,"payload bit-flip"
93510950,4,0,2,0,0,"payload bit-flip"
93513164,4,0,2,0,0,"payload bit-flip"
93515253,4,0,2,0,0,"payload bit-flip"
93517735,4,0,2,0,0,"payload bit-flip"
93520541,4,0,2,0,0,"payload bit-flip"
93522736,4,0,2,0,0,"payload bit-flip"
93525094,4,0,2,0,0,"payload bit-flip"
93533862,4,0,2,0,0,"payload bit-flip"
93536618,4,0,2,0,0,"payload bit-flip"
94570039,4,0,2,0,0,"payload bit-flip"
94574141,4,0,2,0,0,"payload bit-flip"
94581723,4,0,2,0,0,"payload bit-flip"
94583984,4,0,2,0,0,"payload bit-flip"
94586459,4,0,2,0,0,"payload bit-flip"
94588547,4,0,2,0,0,"payload bit-flip"
94591020,4,0,2,0,0,"payload bit-flip"
94593110,4,0,2,0,0,"payload bit-flip"
94595267,4,0,2,0,0,"payload bit-flip"
94597384,4,0,2,0,0,"payload bit-flip"
94599560,4,0,2,0,0,"payload bit-flip"
94601647,4,0,2,0,0,"payload bit-flip"
94603741,4,0,2,0,0,"payload bit-flip"
94606146,4,0,2,0,0,"payload bit-flip"
94608710,4,0,2,0,0,"payload bit-flip"
94611071,4,0,2,0,0,"payload bit-flip"
94613661,4,0,2,0,0,"payload bit-flip"
94616978,4,0,2,0,0,"payload bit-flip"
94619349,4,0,2,0,0,"payload bit-flip"
94621404,4,0,2,0,0,"payload bit-flip"
94623645,4,0,2,0,0,"payload bit-flip"
94625851,4,0,2,0,0,"payload bit-flip"
94628468,4,0,2,0,0,"payload bit-flip"
94631077,4,0,2,0,0,"payload bit-flip"
94633676,4,0,2,0,0,"payload bit-flip"
94636164,4,0,2,0,0,"payload bit-flip"
94640115,4,0,2,0,0,"payload bit-flip"
94642702,4,0,2,0,0,"payload bit-flip"
94644926,4,0,2,0,0,"payload bit-flip"
94647362,4,0,2,0,0,"payload bit-flip"
94650410,4,0,2,0,0,"payload bit-flip"
94652742,4,0,2,0,0,"payload bit-flip"
94656398,4,0,2,0,0,"payload bit-flip"
94658869,4,0,2,0,0,"payload bit-flip"
94661059,4,0,2,0,0,"payload bit-flip"
94663585,4,0,2,0,0,"payload bit-flip"
94666217,4,0,2,0,0,"payload bit-flip"
94668638,4,0,2,0,0,"payload bit-flip"
94670811,4,0,2,0,0,"payload bit-flip"
94690848,4,0,2,0,0,"payload bit-flip"
94694282,4,0,2,0,0,"payload bit-flip"
94697293,4,0,2,0,0,"payload bit-flip"
94699945,4,0,2,0,0,"payload bit-flip"
94702764,4,0,2,0,0,"payload bit-flip"
94705438,4,0,2,0,0,"payload bit-flip"
94708160,4,0,2,0,0,"payload bit-flip"
94710969,4,0,2,0,0,"payload bit-flip"
94715120,4,0,2,0,0,"payload bit-flip"
94721004,4,0,2,0,0,"payload bit-flip"
94723981,4,0,2,0,0,"payload bit-flip"
94726351,4,0,2,0,0,"payload bit-flip"
94729024,4,0,2,0,0,"payload bit-flip"
94731322,4,0,2,0,0,"payload bit-flip"
95641218,4,0,2,0,0,"payload bit-flip"
95645830,4,0,2,0,0,"payload bit-flip"
95648970,4,0,2,0,0,"payload bit-flip"
95651970,4,0,2,0,0,"payload bit-flip"
95655089,4,0,2,0,0,"payload bit-flip"
95659437,4,0,2,0,0,"payload bit-flip"
95662460,4,0,2,0,0,"payload bit-flip"
95665582,4,0,2,0,0,"payload bit-flip"
95692007,4,0,2,0,0,"payload bit-flip"
95700590,4,0,2,0,0,"payload bit-flip"
95707792,4,0,2,0,0,"payload bit-flip"
95714669,4,0,2,0,0,"payload bit-flip"
95717671,4,0,2,0,0,"payload bit-flip"
95720870,4,0,2,0,0,"payload bit-flip"
95723927,4,0,2,0,0,"payload bit-flip"
95727244,4,0,2,0,0,"payload bit-flip"
95730513,4,0,2,0,0,"payload bit-flip"
95733469,4,0,2,0,0,"payload bit-flip"
95736824,4,0,2,0,0,"payload bit-flip"
95739980,4,0,2,0,0,"payload bit-flip"
95743297,4,0,2,0,0,"payload bit-flip"
95746230,4,0,2,0,0,"payload bit-flip"
95749441,4,0,2,0,0,"payload bit-flip"
95752334,4,0,2,0,0,"payload bit-flip"
95755193,4,0,2,0,0,"payload bit-flip"
95759035,4,0,2,0,0,"payload bit-flip"
95763832,4,0,2,0,0,"payload bit-flip"
95766820,4,0,2,0,0,"payload bit-flip"
95769478,4,0,2,0,0,"payload bit-flip"
95772224,4,0,2,0,0,"payload bit-flip"
95774586,4,0,2,0,0,"payload bit-flip"
95777646,4,0,2,0,0,"payload bit-flip"
95780262,4,0,2,0,0,"payload bit-flip"
95782826,4,0,2,0,0,"payload bit-flip"
